,story_id,alternation_score
0,D-hp3wDV,0.7
1,y4Srva15,0.4
2,7qpfziir,0.9285714285714286
3,Nokx0yU6,0.6666666666666666
4,gz_gxhYn,0.9285714285714286
5,U2OtB3XT,0.9285714285714286
6,v4h_GSI0,0.8
7,1ptR3pru,0.25
8,JQpdcw-d,0.8823529411764706
9,B9SLlUry,0.42857142857142855
10,r7i-PG2n,0.8461538461538461
11,AUmcnOzL,0.8888888888888888
12,tyK82z37,0.7647058823529411
13,IRRbkmZk,0.8181818181818182
14,Vy4_Rxzv,0.5
15,M9EZmoBI,0.8518518518518519
16,uhDaBOl1,0.7333333333333333
17,SXefpzf4,0.5
18,EzsIH_Et,0.5
19,16FP4tfG,0.4
20,sUMoEZI5,0.6842105263157895
21,_HnVHPjm,0.6666666666666666
22,4D206Lam,0.45454545454545453
23,j3ZikN40,0.7
24,BOGODrvZ,1.0
25,abkhtH-r,0.3
26,Huo1mZpJ,1.0
27,JYOzBt8Y,0.5
28,buiNjeJj,0.47368421052631576
29,PziKYGG_,0.8823529411764706
30,wa1_2kB_,1.0
31,lkuzAhad,0.8125
32,jamFJtUo,0.9
33,gzeEqkGo,0.3
34,KzqVF2Z6,0.35294117647058826
35,Ww1HhAGH,1.0
36,IuSofTQ_,0.5555555555555556
37,TQjKggI7,1.0
38,Jzaeaf75,0.875
39,SghkiaeU,0.3
40,R2GpYpI5,0.9
41,l3RukqzW,0.6190476190476191
42,-QO5tO8t,1.0
43,N12KW_UW,1.0
44,8TaxJyd-,0.9
45,a-LzrTFa,0.8888888888888888
46,mJpAWU1f,0.625
47,GVfxLAss,0.42857142857142855
48,GENuDEXR,0.8571428571428571
49,GghVmi8y,0.5
50,6yGct8pP,0.5
