,story_id,coherence_score
0,D-hp3wDV,0.47417694330215454
1,y4Srva15,0.6072243452072144
2,7qpfziir,0.4008556306362152
3,Nokx0yU6,0.44864410161972046
4,gz_gxhYn,0.4851195514202118
5,U2OtB3XT,0.47777122259140015
6,v4h_GSI0,0.4944913387298584
7,1ptR3pru,0.37110114097595215
8,JQpdcw-d,0.3246283531188965
9,B9SLlUry,0.5007763504981995
10,r7i-PG2n,0.42462876439094543
11,AUmcnOzL,0.49926185607910156
12,tyK82z37,0.41479000449180603
13,IRRbkmZk,0.3773496150970459
14,Vy4_Rxzv,0.4581223130226135
15,M9EZmoBI,0.41226235032081604
16,uhDaBOl1,0.4614597260951996
17,SXefpzf4,0.0
18,EzsIH_Et,0.0
19,16FP4tfG,0.5776092410087585
20,sUMoEZI5,0.41348257660865784
21,_HnVHPjm,0.23241928219795227
22,4D206Lam,0.3909268081188202
23,j3ZikN40,0.5486745238304138
24,BOGODrvZ,0.4716654419898987
25,abkhtH-r,0.36566296219825745
26,Huo1mZpJ,0.4414704740047455
27,JYOzBt8Y,0.7347452640533447
28,buiNjeJj,0.3422671854496002
29,PziKYGG_,0.46323177218437195
30,wa1_2kB_,0.5484132766723633
31,lkuzAhad,0.3907286822795868
32,jamFJtUo,0.5150007605552673
33,gzeEqkGo,0.4162374436855316
34,KzqVF2Z6,0.37364667654037476
35,Ww1HhAGH,0.39378559589385986
36,IuSofTQ_,0.4247218370437622
37,TQjKggI7,0.35887905955314636
38,Jzaeaf75,0.5122071504592896
39,SghkiaeU,0.4808414876461029
40,R2GpYpI5,0.4763711988925934
41,l3RukqzW,0.43717512488365173
42,-QO5tO8t,0.30582454800605774
43,N12KW_UW,0.45714443922042847
44,8TaxJyd-,0.4250525236129761
45,a-LzrTFa,0.3880613446235657
46,mJpAWU1f,0.12696346640586853
47,GVfxLAss,0.5196185111999512
48,GENuDEXR,0.5144317150115967
49,GghVmi8y,0.0
50,6yGct8pP,0.0
