,story_id,n_curators
0,D-hp3wDV,2
1,y4Srva15,2
2,7qpfziir,2
3,Nokx0yU6,2
4,gz_gxhYn,2
5,U2OtB3XT,2
6,v4h_GSI0,1
7,1ptR3pru,3
8,JQpdcw-d,2
9,B9SLlUry,3
10,r7i-PG2n,3
11,AUmcnOzL,2
12,tyK82z37,1
13,IRRbkmZk,2
14,Vy4_Rxzv,3
15,M9EZmoBI,2
16,uhDaBOl1,1
17,SXefpzf4,1
18,EzsIH_Et,1
19,16FP4tfG,1
20,sUMoEZI5,2
21,_HnVHPjm,1
22,4D206Lam,2
23,j3ZikN40,2
24,BOGODrvZ,3
25,abkhtH-r,2
26,Huo1mZpJ,4
27,JYOzBt8Y,2
28,buiNjeJj,2
29,PziKYGG_,4
30,wa1_2kB_,2
31,lkuzAhad,2
32,jamFJtUo,2
33,gzeEqkGo,3
34,KzqVF2Z6,2
35,Ww1HhAGH,3
36,IuSofTQ_,3
37,TQjKggI7,3
38,Jzaeaf75,3
39,SghkiaeU,3
40,R2GpYpI5,1
41,l3RukqzW,2
42,-QO5tO8t,2
43,N12KW_UW,2
44,8TaxJyd-,2
45,a-LzrTFa,2
46,mJpAWU1f,2
47,GVfxLAss,2
48,GENuDEXR,2
49,GghVmi8y,1
50,6yGct8pP,1
