,quality_score
D-hp3wDV,0.5
y4Srva15,0.36
7qpfziir,0.5
Nokx0yU6,0.5
gz_gxhYn,0.5
U2OtB3XT,0.68
v4h_GSI0,0.5
1ptR3pru,0.27
JQpdcw-d,0.52
B9SLlUry,0.35
r7i-PG2n,0.53
AUmcnOzL,0.5
tyK82z37,0.5
IRRbkmZk,0.5
Vy4_Rxzv,0.39
M9EZmoBI,0.5
uhDaBOl1,0.44
SXefpzf4,0.5
EzsIH_Et,0.38
16FP4tfG,0.36
sUMoEZI5,0.45
_HnVHPjm,0.5
4D206Lam,0.37
j3ZikN40,0.5
BOGODrvZ,0.52
abkhtH-r,0.27
Huo1mZpJ,0.7
JYOzBt8Y,0.33
buiNjeJj,0.39
PziKYGG_,0.55
wa1_2kB_,0.75
lkuzAhad,0.45
jamFJtUo,0.64
gzeEqkGo,0.35
KzqVF2Z6,0.29
Ww1HhAGH,0.98
IuSofTQ_,0.5
TQjKggI7,0.97
Jzaeaf75,0.5
SghkiaeU,0.31
R2GpYpI5,0.5
l3RukqzW,0.46
-QO5tO8t,0.5
N12KW_UW,0.75
8TaxJyd-,0.57
a-LzrTFa,0.5
mJpAWU1f,0.45
GVfxLAss,0.35
GENuDEXR,0.5
GghVmi8y,0.5
6yGct8pP,0.5
