,story_id,num_data_viz
0,D-hp3wDV,6
1,y4Srva15,4
2,7qpfziir,5
3,Nokx0yU6,2
4,gz_gxhYn,7
5,U2OtB3XT,5
6,v4h_GSI0,3
7,1ptR3pru,7
8,JQpdcw-d,9
9,B9SLlUry,5
10,r7i-PG2n,6
11,AUmcnOzL,4
12,tyK82z37,10
13,IRRbkmZk,7
14,Vy4_Rxzv,4
15,M9EZmoBI,11
16,uhDaBOl1,9
17,SXefpzf4,2
18,EzsIH_Et,5
19,16FP4tfG,4
20,sUMoEZI5,13
21,_HnVHPjm,2
22,4D206Lam,8
23,j3ZikN40,6
24,BOGODrvZ,7
25,abkhtH-r,8
26,Huo1mZpJ,8
27,JYOzBt8Y,7
28,buiNjeJj,14
29,PziKYGG_,7
30,wa1_2kB_,10
31,lkuzAhad,9
32,jamFJtUo,10
33,gzeEqkGo,9
34,KzqVF2Z6,13
35,Ww1HhAGH,5
36,IuSofTQ_,7
37,TQjKggI7,1
38,Jzaeaf75,3
39,SghkiaeU,9
40,R2GpYpI5,5
41,l3RukqzW,13
42,-QO5tO8t,0
43,N12KW_UW,5
44,8TaxJyd-,5
45,a-LzrTFa,4
46,mJpAWU1f,11
47,GVfxLAss,5
48,GENuDEXR,4
49,GghVmi8y,3
50,6yGct8pP,3
