,story_id,total_queries,weighted_feature_sum,sparql_feature_metric,diversity_metric,normalized_sparql_feature_metric
0,D-hp3wDV,8,16.133522727272727,2.016690340909091,0.16304347826086957,0.32614869292944
1,y4Srva15,5,7.9005681818181825,1.5801136363636366,0.1391304347826087,0.23662710259957767
2,7qpfziir,11,17.5,1.5909090909090908,0.1422924901185771,0.23884074856185825
3,Nokx0yU6,3,4.576704545454546,1.5255681818181819,0.10144927536231885,0.22544236510594914
4,gz_gxhYn,11,14.72159090909091,1.3383264462809918,0.13043478260869565,0.18704778800897637
5,U2OtB3XT,8,13.153409090909093,1.6441761363636367,0.15760869565217392,0.2497633437704799
6,v4h_GSI0,4,7.227272727272727,1.8068181818181817,0.13043478260869565,0.283113667807471
7,1ptR3pru,9,11.63068181818182,1.2922979797979801,0.12560386473429952,0.17760948890345238
8,JQpdcw-d,12,12.269886363636365,1.0224905303030305,0.09420289855072461,0.12228452146896768
9,B9SLlUry,8,13.62784090909091,1.7034801136363638,0.15760869565217395,0.2619238331027452
10,r7i-PG2n,9,26.377840909090914,2.930871212121213,0.20289855072463772,0.5136046991431833
11,AUmcnOzL,6,15.812500000000002,2.635416666666667,0.18115942028985507,0.45302070438602887
12,tyK82z37,11,21.44034090909091,1.9491219008264464,0.11462450592885375,0.31229354640117035
13,IRRbkmZk,8,16.77840909090909,2.0973011363636362,0.1358695652173913,0.34267822034515394
14,Vy4_Rxzv,7,13.821022727272728,1.9744318181818183,0.1739130434782609,0.3174834340639336
15,M9EZmoBI,19,13.553977272727275,0.713367224880383,0.080091533180778,0.058897699356524995
16,uhDaBOl1,11,11.71875,1.0653409090909092,0.09486166007905138,0.13107114250345878
17,SXefpzf4,4,2.536931818181819,0.6342329545454547,0.07608695652173914,0.042670938615014906
18,EzsIH_Et,7,7.045454545454546,1.0064935064935066,0.09316770186335403,0.11900427541583876
19,16FP4tfG,5,9.088068181818183,1.8176136363636366,0.14782608695652172,0.28532731376975173
20,sUMoEZI5,13,15.295454545454545,1.1765734265734265,0.10033444816053512,0.15387976183141108
21,_HnVHPjm,3,1.3806818181818181,0.4602272727272727,0.07246376811594203,0.006990460933517742
22,4D206Lam,10,15.556818181818183,1.5556818181818184,0.1391304347826087,0.2316172722638899
23,j3ZikN40,10,24.70170454545455,2.470170454545455,0.17391304347826086,0.41913638680550513
24,BOGODrvZ,15,45.34374999999999,3.0229166666666663,0.17101449275362313,0.5324789436636811
25,abkhtH-r,10,12.661931818181818,1.2661931818181817,0.1217391304347826,0.17225660817010116
26,Huo1mZpJ,11,13.235795454545455,1.203254132231405,0.11857707509881421,0.1593507344617808
27,JYOzBt8Y,9,15.636363636363635,1.7373737373737372,0.16425120772946855,0.26887383997993475
28,buiNjeJj,17,22.639204545454547,1.3317179144385027,0.13299232736572889,0.18569268528790672
29,PziKYGG_,10,14.670454545454547,1.4670454545454548,0.12608695652173912,0.21344207383674363
30,wa1_2kB_,15,13.511363636363635,0.9007575757575756,0.10144927536231883,0.0973227505521978
31,lkuzAhad,12,13.517045454545455,1.1264204545454546,0.10869565217391304,0.14359571834267817
32,jamFJtUo,11,11.548295454545455,1.0498450413223142,0.11462450592885375,0.1278936602609507
33,gzeEqkGo,10,10.75284090909091,1.075284090909091,0.1217391304347826,0.13311002694240148
34,KzqVF2Z6,16,19.022727272727273,1.1889204545454546,0.12499999999999997,0.15641156338746082
35,Ww1HhAGH,8,42.42329545454545,5.302911931818182,0.23369565217391305,1.0
36,IuSofTQ_,9,9.204545454545455,1.0227272727272727,0.11594202898550725,0.1223330663365615
37,TQjKggI7,2,1.494318181818182,0.747159090909091,0.08695652173913043,0.06582684045729263
38,Jzaeaf75,5,12.187500000000002,2.4375000000000004,0.16521739130434782,0.41243719507755056
39,SghkiaeU,10,14.718749999999998,1.4718749999999998,0.14782608695652172,0.21443238913565857
40,R2GpYpI5,11,28.295454545454547,2.572314049586777,0.19367588932806326,0.4400812905873709
41,l3RukqzW,18,17.56818181818182,0.9760101010101011,0.10386473429951687,0.11275354579803716
42,-QO5tO8t,3,1.2784090909090917,0.4261363636363639,0.043478260869565216,0.0
43,N12KW_UW,8,19.56534090909091,2.4456676136363638,0.19565217391304346,0.4141119930095391
44,8TaxJyd-,7,29.28693181818182,4.183847402597403,0.24223602484472048,0.7705318783743018
45,a-LzrTFa,6,8.59659090909091,1.4327651515151516,0.13768115942028988,0.2064127770091507
46,mJpAWU1f,13,16.761363636363637,1.2893356643356644,0.11705685618729096,0.17700205568843153
47,GVfxLAss,8,18.610795454545453,2.3263494318181817,0.17391304347826086,0.3896453797422267
48,GENuDEXR,7,20.017045454545453,2.859577922077922,0.20496894409937885,0.4989857590163423
49,GghVmi8y,5,8.519886363636365,1.703977272727273,0.14782608695652175,0.2620257773246924
50,6yGct8pP,6,9.951704545454547,1.6586174242424245,0.11594202898550725,0.2527245806937062
