,story_id,total_queries_story,federated_queries_story,federated_bonus
0,D-hp3wDV,8,0,0.0
1,y4Srva15,5,0,0.0
2,7qpfziir,11,0,0.0
3,Nokx0yU6,3,0,0.0
4,gz_gxhYn,11,0,0.0
5,U2OtB3XT,8,0,0.0
6,v4h_GSI0,4,0,0.0
7,1ptR3pru,9,0,0.0
8,JQpdcw-d,12,0,0.0
9,B9SLlUry,8,0,0.0
10,r7i-PG2n,9,5,0.5555555555555556
11,AUmcnOzL,6,0,0.0
12,tyK82z37,11,0,0.0
13,IRRbkmZk,8,0,0.0
14,Vy4_Rxzv,7,0,0.0
15,M9EZmoBI,19,0,0.0
16,uhDaBOl1,11,0,0.0
17,SXefpzf4,4,0,0.0
18,EzsIH_Et,7,0,0.0
19,16FP4tfG,5,0,0.0
20,sUMoEZI5,13,0,0.0
21,_HnVHPjm,3,0,0.0
22,4D206Lam,10,0,0.0
23,j3ZikN40,10,0,0.0
24,BOGODrvZ,15,12,0.8
25,abkhtH-r,10,0,0.0
26,Huo1mZpJ,11,0,0.0
27,JYOzBt8Y,9,0,0.0
28,buiNjeJj,17,0,0.0
29,PziKYGG_,10,0,0.0
30,wa1_2kB_,15,0,0.0
31,lkuzAhad,12,0,0.0
32,jamFJtUo,11,0,0.0
33,gzeEqkGo,10,0,0.0
34,KzqVF2Z6,16,0,0.0
35,Ww1HhAGH,8,8,1.0
36,IuSofTQ_,9,0,0.0
37,TQjKggI7,2,0,0.0
38,Jzaeaf75,5,0,0.0
39,SghkiaeU,10,0,0.0
40,R2GpYpI5,11,1,0.09090909090909091
41,l3RukqzW,18,0,0.0
42,-QO5tO8t,3,0,0.0
43,N12KW_UW,8,0,0.0
44,8TaxJyd-,7,0,0.0
45,a-LzrTFa,6,0,0.0
46,mJpAWU1f,13,0,0.0
47,GVfxLAss,8,0,0.0
48,GENuDEXR,7,0,0.0
49,GghVmi8y,5,0,0.0
50,6yGct8pP,6,0,0.0
