,story_id,combined_normalized,correct_normalized,federated_bonus,normalized_sparql_feature_metric,diversity_metric,sparql_proficiency
0,D-hp3wDV,1.0,1.0,0.0,0.32614869292944,0.1630434782608695,0.29567686847612384
1,y4Srva15,1.0,1.0,0.0,0.2366271025995776,0.1391304347826087,0.25030301495287455
2,7qpfziir,1.0,1.0,0.0,0.2388407485618582,0.1422924901185771,0.2524532954721741
3,Nokx0yU6,1.0,1.0,0.0,0.2254423651059491,0.1014492753623188,0.23075665618730717
4,gz_gxhYn,1.0,1.0,0.0,0.1870477880089763,0.1304347826086956,0.22699302824706877
5,U2OtB3XT,1.0,1.0,0.0,0.2497633437704799,0.1576086956521739,0.26294881576906154
6,v4h_GSI0,1.0,1.0,0.0,0.283113667807471,0.1304347826086956,0.26541938016646666
7,1ptR3pru,1.0,1.0,0.0,0.1776094889034523,0.1256038647342995,0.22128534145510073
8,JQpdcw-d,1.0,1.0,0.0,0.1222845214689676,0.0942028985507246,0.1865949680078769
9,B9SLlUry,1.0,1.0,0.0,0.2619238331027452,0.1576086956521739,0.2678130115019677
10,r7i-PG2n,1.0,1.0,0.5555555555555556,0.5136046991431833,0.2028985507246377,0.44215685550268397
11,AUmcnOzL,0.92,0.8333333333333335,0.0,0.4530207043860288,0.181159420289855,0.3370053832036869
12,tyK82z37,0.82,0.7272727272727273,0.0,0.3122935464011703,0.1146245059288537,0.24349449365928236
13,IRRbkmZk,0.94,0.875,0.0,0.3426782203451539,0.1358695652173913,0.2789191142250181
14,Vy4_Rxzv,1.0,1.0,0.0,0.3174834340639336,0.1739130434782609,0.2965585910168778
15,M9EZmoBI,0.95,0.9473684210526316,0.0,0.0588976993565249,0.080091533180778,0.15033253512018432
16,uhDaBOl1,0.86,0.7272727272727273,0.0,0.1310711425034587,0.0948616600790513,0.16310039376027674
17,SXefpzf4,1.0,1.0,0.0,0.0426709386150149,0.0760869565217391,0.1475031580547016
18,EzsIH_Et,1.0,1.0,0.0,0.1190042754158387,0.093167701863354,0.1848687909116771
19,16FP4tfG,1.0,1.0,0.0,0.2853273137697517,0.1478260869565217,0.2732613602905094
20,sUMoEZI5,0.92,0.8461538461538461,0.0,0.153879761831411,0.1003344481605351,0.18630106861216308
21,_HnVHPjm,1.0,1.0,0.0,0.0069904609335177,0.072463768115942,0.13178169161978387
22,4D206Lam,0.85,0.8,0.0,0.2316172722638899,0.1391304347826087,0.22829908281859945
23,j3ZikN40,1.0,1.0,0.0,0.4191363868055051,0.1739130434782608,0.33721977211350634
24,BOGODrvZ,0.97,0.9333333333333332,0.8,0.5324789436636811,0.1710144927536231,0.45473070790025505
25,abkhtH-r,1.0,1.0,0.0,0.1722566081701011,0.1217391304347826,0.21759829544195347
26,Huo1mZpJ,0.95,0.9090909090909092,0.0,0.1593507344617808,0.1185770750988142,0.20208021473332893
27,JYOzBt8Y,1.0,1.0,0.0,0.2688738399799347,0.1642512077294685,0.2732500190837613
28,buiNjeJj,0.97,0.9411764705882352,0.0,0.1856926852879067,0.1329923273657288,0.22159165212027773
29,PziKYGG_,1.0,1.0,0.0,0.2134420738367436,0.1260869565217391,0.23581161214339308
30,wa1_2kB_,1.0,1.0,0.0,0.0973227505521978,0.1014492753623188,0.17950881036580665
31,lkuzAhad,1.0,1.0,0.0,0.1435957183426781,0.108695652173913,0.20091654820663646
32,jamFJtUo,0.91,0.9090909090909092,0.0,0.1278936602609507,0.1146245059288537,0.1879163573850127
33,gzeEqkGo,1.0,1.0,0.0,0.1331100269424014,0.1217391304347826,0.20193966295087362
34,KzqVF2Z6,0.94,0.9375,0.0,0.1564115633874608,0.1249999999999999,0.20631462535498427
35,Ww1HhAGH,0.62,0.625,1.0,1.0,0.233695652173913,0.6559782608695652
36,IuSofTQ_,1.0,1.0,0.0,0.1223330663365615,0.1159420289855072,0.19531003812882747
37,TQjKggI7,1.0,1.0,0.0,0.0658268404572926,0.0869565217391304,0.1611133448785692
38,Jzaeaf75,1.0,1.0,0.0,0.4124371950775505,0.1652173913043478,0.33106183455275934
39,SghkiaeU,1.0,1.0,0.0,0.2144323891356585,0.1478260869565217,0.2449033904368721
40,R2GpYpI5,0.95,0.9090909090909092,0.0909090909090909,0.4400812905873709,0.1936758893280632,0.3535028719661737
41,l3RukqzW,0.94,0.9444444444444444,0.0,0.1127535457980371,0.1038647342995168,0.181091756483466
42,-QO5tO8t,1.0,1.0,0.0,0.0,0.0434782608695652,0.11739130434782609
43,N12KW_UW,0.75,0.625,0.0,0.4141119930095391,0.1956521739130434,0.306405666769033
44,8TaxJyd-,0.86,0.7142857142857143,0.0,0.7705318783743018,0.2422360248447204,0.4765357327161804
45,a-LzrTFa,0.92,0.8333333333333335,0.0,0.2064127770091507,0.1376811594202898,0.22097090790510956
46,mJpAWU1f,1.0,1.0,0.0,0.1770020556884315,0.1170568561872909,0.21762356475028896
47,GVfxLAss,0.81,0.75,0.0,0.3896453797422267,0.1739130434782608,0.300423369288195
48,GENuDEXR,1.0,1.0,0.0,0.4989857590163423,0.2049689440993788,0.38158188124628845
49,GghVmi8y,1.0,1.0,0.0,0.2620257773246924,0.1478260869565217,0.26394074571248566
50,6yGct8pP,1.0,1.0,0.0,0.2527245806937062,0.1159420289855072,0.24746664387168538
