,story_id,combined_normalized,corret_normalized,federated_bonus,normalized_sparql_feature_metric,diversity_metric,sparql_proficiency
0,D-hp3wDV,1.0,1.0,0.0,0.6353591160220992,0.1630434782608695,0.41936103771318745
1,y4Srva15,1.0,1.0,0.0,0.3447513812154694,0.1391304347826087,0.29355272639923125
2,7qpfziir,1.0,1.0,0.0,0.4701155198392764,0.1422924901185771,0.3449632039831414
3,Nokx0yU6,1.0,1.0,0.0,0.2209944751381214,0.1014492753623188,0.2289775002001761
4,gz_gxhYn,1.0,1.0,0.0,0.4620793571069813,0.1304347826086956,0.3370056558862708
5,U2OtB3XT,1.0,1.0,0.0,0.5082872928176793,0.1576086956521739,0.36635839538794124
6,v4h_GSI0,1.0,1.0,0.0,0.3867403314917126,0.1413043478260869,0.3112178717271198
7,1ptR3pru,1.0,1.0,0.0,0.3486801718845916,0.1256038647342995,0.28971361464755646
8,JQpdcw-d,1.0,1.0,0.0,0.3572744014732963,0.0942028985507246,0.2805909200096084
9,B9SLlUry,1.0,1.0,0.0,0.5303867403314914,0.1576086956521739,0.37519817439346614
10,r7i-PG2n,1.0,1.0,0.5555555555555556,0.8496009821976669,0.2028985507246377,0.5765553687244774
11,AUmcnOzL,0.92,0.8333333333333335,0.0,0.7734806629834251,0.1956521739130435,0.4709864680919208
12,tyK82z37,0.82,0.7272727272727273,0.0,0.3134103465595177,0.1146245059288537,0.24394121372262131
13,IRRbkmZk,0.94,0.875,0.0,0.4254143646408838,0.1358695652173913,0.3120135719433101
14,Vy4_Rxzv,1.0,1.0,0.0,0.6314127861089185,0.1739130434782609,0.4221303318348718
15,M9EZmoBI,0.95,0.9473684210526316,0.0,0.2465833091014829,0.0823798627002288,0.2263221108259479
16,uhDaBOl1,0.86,0.7272727272727273,0.0,0.1767955801104971,0.0988142292490118,0.1829711964710763
17,SXefpzf4,1.0,1.0,0.0,0.1657458563535911,0.0760869565217391,0.19673312515013208
18,EzsIH_Et,1.0,1.0,0.0,0.2841357537490132,0.093167701863354,0.25092138224494687
19,16FP4tfG,1.0,1.0,0.0,0.3977900552486185,0.1478260869565217,0.3182464568820561
20,sUMoEZI5,0.92,0.8461538461538461,0.0,0.1121971950701232,0.1003344481605351,0.16962804190764794
21,_HnVHPjm,1.0,1.0,0.0,0.0,0.072463768115942,0.1289855072463768
22,4D206Lam,0.85,0.8,0.0,0.4375690607734804,0.1391304347826087,0.3106797982224357
23,j3ZikN40,1.0,1.0,0.0,0.7690607734806626,0.1739130434782608,0.47718952678356935
24,BOGODrvZ,0.97,0.9333333333333332,0.8,0.7366482504604049,0.1710144927536231,0.5363984306189445
25,abkhtH-r,1.0,1.0,0.0,0.4552486187845302,0.1217391304347826,0.33079509968772514
26,Huo1mZpJ,0.95,0.9090909090909092,0.0,0.4419889502762428,0.1225296442687746,0.3167165287270979
27,JYOzBt8Y,1.0,1.0,0.0,0.5205647636586861,0.1642512077294685,0.37392638855526183
28,buiNjeJj,0.97,0.9411764705882352,0.0,0.3431914202144945,0.1329923273657288,0.28459114609091285
29,PziKYGG_,1.0,1.0,0.0,0.5171270718232042,0.1260869565217391,0.35728561133797737
30,wa1_2kB_,1.0,1.0,0.0,0.2593001841620624,0.1014492753623188,0.2442997838097525
31,lkuzAhad,1.0,1.0,0.0,0.2394106813996315,0.108695652173913,0.23924253342941781
32,jamFJtUo,0.91,0.9090909090909092,0.0,0.2410848819688598,0.1146245059288537,0.23319284606817633
33,gzeEqkGo,1.0,1.0,0.0,0.4198895027624308,0.1217391304347826,0.31665145327888533
34,KzqVF2Z6,0.94,0.9375,0.0,0.3011049723756905,0.1249999999999999,0.2641919889502762
35,Ww1HhAGH,0.62,0.625,1.0,1.0,0.233695652173913,0.6559782608695652
36,IuSofTQ_,1.0,1.0,0.0,0.3732351135666051,0.1159420289855072,0.29567085702084495
37,TQjKggI7,1.0,1.0,0.0,0.4198895027624308,0.0869565217391304,0.30273840980062444
38,Jzaeaf75,1.0,1.0,0.0,0.6806629834254141,0.1652173913043478,0.43835214989190474
39,SghkiaeU,1.0,1.0,0.0,0.4464088397790053,0.1478260869565217,0.3376939706942108
40,R2GpYpI5,0.95,0.9090909090909092,0.0909090909090909,0.7714716223003512,0.1936758893280632,0.4860590046513658
41,l3RukqzW,0.94,0.9444444444444444,0.0,0.3364027010435848,0.1062801932367149,0.27151760215656434
42,-QO5tO8t,1.0,1.0,0.0,0.2651933701657457,0.0434782608695652,0.22346865241412436
43,N12KW_UW,0.75,0.625,0.0,0.624309392265193,0.2119565217391304,0.39700636560172936
44,8TaxJyd-,0.86,0.7142857142857143,0.0,0.9155485398579316,0.2546583850931677,0.5395113414090111
45,a-LzrTFa,0.92,0.8333333333333335,0.0,0.4493554327808468,0.1376811594202898,0.318147970213788
46,mJpAWU1f,1.0,1.0,0.0,0.3229919252018698,0.1170568561872909,0.2760195125556643
47,GVfxLAss,0.81,0.75,0.0,0.4861878453038671,0.1739130434782608,0.3390403555128512
48,GENuDEXR,1.0,1.0,0.0,0.5998421468034725,0.2049689440993788,0.4219244363611405
49,GghVmi8y,1.0,1.0,0.0,0.6895027624309389,0.1478260869565217,0.43493153975498433
50,6yGct8pP,1.0,1.0,0.0,0.5009208103130752,0.1231884057971014,0.3496436864440706
