,story_id,total_queries,working_queries,correct_queries,working_percentage,correct_percentage
0,D-hp3wDV,8,8,8,100.0,100.0
1,y4Srva15,5,5,5,100.0,100.0
2,7qpfziir,11,11,11,100.0,100.0
3,Nokx0yU6,3,3,3,100.0,100.0
4,gz_gxhYn,11,11,11,100.0,100.0
5,U2OtB3XT,8,8,8,100.0,100.0
6,v4h_GSI0,4,4,4,100.0,100.0
7,1ptR3pru,9,9,9,100.0,100.0
8,JQpdcw-d,12,12,12,100.0,100.0
9,B9SLlUry,8,8,8,100.0,100.0
10,r7i-PG2n,9,9,9,100.0,100.0
11,AUmcnOzL,6,6,5,100.0,83.33333333333334
12,tyK82z37,11,10,8,90.9090909090909,72.72727272727273
13,IRRbkmZk,8,8,7,100.0,87.5
14,Vy4_Rxzv,7,7,7,100.0,100.0
15,M9EZmoBI,19,18,18,94.73684210526315,94.73684210526315
16,uhDaBOl1,11,11,8,100.0,72.72727272727273
17,SXefpzf4,4,4,4,100.0,100.0
18,EzsIH_Et,7,7,7,100.0,100.0
19,16FP4tfG,5,5,5,100.0,100.0
20,sUMoEZI5,13,13,11,100.0,84.61538461538461
21,_HnVHPjm,3,3,3,100.0,100.0
22,4D206Lam,10,9,8,90.0,80.0
23,j3ZikN40,10,10,10,100.0,100.0
24,BOGODrvZ,15,15,14,100.0,93.33333333333333
25,abkhtH-r,10,10,10,100.0,100.0
26,Huo1mZpJ,11,11,10,100.0,90.9090909090909
27,JYOzBt8Y,9,9,9,100.0,100.0
28,buiNjeJj,17,17,16,100.0,94.11764705882352
29,PziKYGG_,10,10,10,100.0,100.0
30,wa1_2kB_,15,15,15,100.0,100.0
31,lkuzAhad,12,12,12,100.0,100.0
32,jamFJtUo,11,10,10,90.9090909090909,90.9090909090909
33,gzeEqkGo,10,10,10,100.0,100.0
34,KzqVF2Z6,16,15,15,93.75,93.75
35,Ww1HhAGH,8,5,5,62.5,62.5
36,IuSofTQ_,9,9,9,100.0,100.0
37,TQjKggI7,2,2,2,100.0,100.0
38,Jzaeaf75,5,5,5,100.0,100.0
39,SghkiaeU,10,10,10,100.0,100.0
40,R2GpYpI5,11,11,10,100.0,90.9090909090909
41,l3RukqzW,18,17,17,94.44444444444444,94.44444444444444
42,-QO5tO8t,3,3,3,100.0,100.0
43,N12KW_UW,8,7,5,87.5,62.5
44,8TaxJyd-,7,7,5,100.0,71.42857142857143
45,a-LzrTFa,6,6,5,100.0,83.33333333333334
46,mJpAWU1f,13,13,13,100.0,100.0
47,GVfxLAss,8,7,6,87.5,75.0
48,GENuDEXR,7,7,7,100.0,100.0
49,GghVmi8y,5,5,5,100.0,100.0
50,6yGct8pP,6,6,6,100.0,100.0
